Trial,N,Time,Time Ratio
1,2000,0.01,5.0
2,4000,0.018,1.7999999999999998
3,8000,0.072,4.0
4,16000,0.261,3.6250000000000004
5,32000,0.947,3.6283524904214555
6,64000,3.074,3.246040126715945
7,128000,12.048,3.91932335718933
8,256000,63.242,5.249169986719787
