Trial,N,Time,Time Ratio
1,200,127900.0,1.7913165266106443
2,400,117600.0,0.9194683346364347
3,800,148200.0,1.260204081632653
4,1600,349000.0,2.3549257759784075
5,3200,1174000.0,3.3638968481375358
6,6400,3052400.0,2.6
7,12800,1.29081E7,4.228836325514349
8,25600,6.04717E7,4.6847870716836715
9,51200,2.47785E8,4.097536533618205
10,102400,1.2203333E9,4.924968420202998
11,204800,7.138627399E9,5.849735804964103
